instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
3732993,14582,SRHHYPOLTD,SREE RAYALSEEMA HHP,0,,0,0.05,1,EQ,NSE,NSE
3735553,14592,FORTIS,FORTIS HEALTHCARE,0,,0,0.05,1,EQ,NSE,NSE
3736833,14597,ALPHAGEO,ALPHAGEO (INDIA),0,,0,0.05,1,EQ,NSE,NSE
3737345,14599,GSLSU,GLOBAL SURFACES,0,,0,0.01,1,EQ,NSE,NSE
3739393,14607,TGBHOTELS,TGB BANQUETS&HOTELS,0,,0,0.01,1,EQ,NSE,NSE
3742209,14618,CHEMBOND,CHEMBOND CHEMICALS,0,,0,0.05,1,EQ,NSE,NSE
3744513,14627,HILTON,HILTON METAL FORGING,0,,0,0.01,1,EQ,NSE,NSE
3752193,14657,INSECTICID,INSECTICIDES (I),0,,0,0.05,1,EQ,NSE,NSE
3754753,14667,KMSUGAR,K M SUGAR MILLS,0,,0,0.01,1,EQ,NSE,NSE
3756033,14672,NAVINFLUOR,NAVIN FLUORINE INT.,0,,0,0.05,1,EQ,NSE,NSE
3757313,14677,GUJAPOLLO,GUJ. APOLLO IND.,0,,0,0.05,1,EQ,NSE,NSE
3759873,14687,GOACARBON,GOA CARBON,0,,0,0.05,1,EQ,NSE,NSE
3764993,14707,TIMETECHNO,TIME TECHNOPLAST,0,,0,0.05,1,EQ,NSE,NSE
3766273,14712,HGS,HINDUJA GLOBAL SOLS.,0,,0,0.05,1,EQ,NSE,NSE
3771393,14732,DLF,DLF,0,,0,0.05,1,EQ,NSE,NSE
3773953,14742,AXSENSEX,AXISAMC - AXSENSEX,0,,0,0.01,1,EQ,NSE,NSE
3774721,14745,ADVANIHOTR,ADVANI HOT.& RES.(I),0,,0,0.01,1,EQ,NSE,NSE
3778817,14761,NELCAST,NELCAST,0,,0,0.01,1,EQ,NSE,NSE
3781377,14771,TARMAT,TARMAT,0,,0,0.01,1,EQ,NSE,NSE
3785217,14786,LOWVOL,MIRAEAMC - MANV30F,0,,0,0.01,1,EQ,NSE,NSE
3785729,14788,SPARC,SUN PHARMA ADV.RES.CO.LTD,0,,0,0.01,1,EQ,NSE,NSE
3787009,14793,MEGASOFT,MEGASOFT,0,,0,0.01,1,EQ,NSE,NSE
3792129,14813,ADSL,ALLIED DIGITAL SERV.,0,,0,0.01,1,EQ,NSE,NSE
3795969,14828,WSI,W.S.INDUSTRIES (I),0,,0,0.01,1,EQ,NSE,NSE
3798529,14838,DECCANCE,DECCAN CEMENTS,0,,0,0.05,1,EQ,NSE,NSE
3799809,14843,VIPCLOTHNG,VIP CLOTHING,0,,0,0.01,1,EQ,NSE,NSE
3801089,14848,ALPA,ALPA LABORATORIES,0,,0,0.01,1,EQ,NSE,NSE
3802369,14853,OMAXE,OMAXE,0,,0,0.01,1,EQ,NSE,NSE
3806977,14871,USK,UDAYSHIVAKUMAR INFRA,0,,0,0.01,1,EQ,NSE,NSE
3811585,14889,ASIANTILES,ASIAN GRANITO IND.,0,,0,0.01,1,EQ,NSE,NSE
3812865,14894,CENTRALBK,CENTRAL BANK OF INDIA,0,,0,0.01,1,EQ,NSE,NSE
3814401,14900,SAHYADRI,SAHYADRI INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE
3816449,14908,KDDL,KDDL,0,,0,0.05,1,EQ,NSE,NSE
3817473,14912,KPRMILL,KPR MILL,0,,0,0.05,1,EQ,NSE,NSE
3818753,14917,TAKE,TAKE SOLUTIONS,0,,0,0.01,1,EQ,NSE,NSE
3820033,14922,PURVA,PURAVANKARA,0,,0,0.05,1,EQ,NSE,NSE
3820545,14924,LAL,LORENZINI APPARELS,0,,0,0.01,1,EQ,NSE,NSE
3823873,14937,CIEINDIA,CIE AUTOMOTIVE INDIA,0,,0,0.05,1,EQ,NSE,NSE
3826433,14947,MOTILALOFS,MOTILAL OSWAL FIN,0,,0,0.05,1,EQ,NSE,NSE
3827713,14952,INDOWIND,INDOWIND ENERGY,0,,0,0.01,1,EQ,NSE,NSE
3828993,14957,MAGNUM,MAGNUM VENTURES,0,,0,0.01,1,EQ,NSE,NSE
3831297,14966,CSBBANK,CSB BANK,0,,0,0.05,1,EQ,NSE,NSE
3832833,14972,KSCL,KAVERI SEED CO.,0,,0,0.05,1,EQ,NSE,NSE
3834113,14977,POWERGRID,POWER GRID CORP.,0,,0,0.05,1,EQ,NSE,NSE
3835393,14982,CENTUM,CENTUM ELECTRONICS,0,,0,0.05,1,EQ,NSE,NSE
3841793,15007,MANGCHEFER,MANG.CHEM.FERT.LTD,0,,0,0.01,1,EQ,NSE,NSE
3848705,15034,BAJAJELEC,BAJAJ ELECT.LTD,0,,0,0.05,1,EQ,NSE,NSE
3849985,15039,CERA,CERA SANITARYWARE,0,,0,0.05,1,EQ,NSE,NSE
3851265,15044,DELTACORP,DELTA CORP,0,,0,0.01,1,EQ,NSE,NSE
3854849,15058,AVALON,AVALON TECHNOLOGIES,0,,0,0.05,1,EQ,NSE,NSE
3855617,15061,PSUBANK,KOTAK PSU BANK,0,,0,0.01,1,EQ,NSE,NSE
3857153,15067,BLAL,BEML LAND ASSETS,0,,0,0.01,1,EQ,NSE,NSE
3857409,15068,RELIGARE,RELIGARE ENTER.,0,,0,0.05,1,EQ,NSE,NSE
3858689,15073,BVCL,BARAK VALLEY CEM.,0,,0,0.01,1,EQ,NSE,NSE
3861249,15083,ADANIPORTS,ADANI PORT & SEZ,0,,0,0.05,1,EQ,NSE,NSE
3870465,15119,EDELWEISS,EDELWEISS FIN SERV,0,,0,0.01,1,EQ,NSE,NSE
3871745,15124,KOLTEPATIL,KOLTE PATIL DEV.,0,,0,0.05,1,EQ,NSE,NSE
3873025,15129,RGL,RENAISSANCE GLOBAL,0,,0,0.01,1,EQ,NSE,NSE
3874817,15136,KAUSHALYA,KAUSHALYA INFRA DEV,0,,0,0.05,1,EQ,NSE,NSE
3876097,15141,COLPAL,COLGATE PALMOLIVE,0,,0,0.05,1,EQ,NSE,NSE
3877377,15146,JYOTHYLAB,JYOTHY LABS,0,,0,0.05,1,EQ,NSE,NSE
3878657,15151,MADHAV,MADHAV MARBLE & GRANITE,0,,0,0.01,1,EQ,NSE,NSE
3879937,15156,KALYANIFRG,KALYANI FORGE,0,,0,0.05,1,EQ,NSE,NSE
3881217,15161,HITECHCORP,HITECH CORPORATION,0,,0,0.01,1,EQ,NSE,NSE
3885825,15179,ECLERX,ECLERX SERVICES,0,,0,0.05,1,EQ,NSE,NSE
3886081,15180,KIRLPNU,KIRLOSKAR PNEUMATIC COM L,0,,0,0.05,1,EQ,NSE,NSE
3887105,15184,BRIGADE,BRIGADE ENTER.,0,,0,0.05,1,EQ,NSE,NSE
3889665,15194,BURNPUR,BURNPUR CEMENT,0,,0,0.01,1,EQ,NSE,NSE
3890945,15199,MANAKSIA,MANAKSIA,0,,0,0.01,1,EQ,NSE,NSE
3893505,15209,PPAP,PPAP AUTOMOTIVE,0,,0,0.01,1,EQ,NSE,NSE
3894785,15214,DVL,DHUNSERI VENTURES,0,,0,0.05,1,EQ,NSE,NSE
3896065,15219,PATINTLOG,PATEL INT. LOG.,0,,0,0.01,1,EQ,NSE,NSE
3898369,15228,UJJIVANSFB,UJJIVAN SMALL FINANC BANK,0,,0,0.01,1,EQ,NSE,NSE
3898625,15229,LICNFNHGP,LICNAMC - LICNFNHGP,0,,0,0.01,1,EQ,NSE,NSE
3899905,15234,AMBIKCO,AMBIKA COTTON MILL,0,,0,0.05,1,EQ,NSE,NSE
3905025,15254,CEATLTD,CEAT,0,,0,0.05,1,EQ,NSE,NSE
3906305,15259,RPOWER,RELIANCE POWER,0,,0,0.01,1,EQ,NSE,NSE
3908097,15266,JKIL,JKUMAR INFR.LTD.,0,,0,0.05,1,EQ,NSE,NSE
3909377,15271,CORDSCABLE,CORDS CABLE INDUS,0,,0,0.01,1,EQ,NSE,NSE
3911169,15278,ONMOBILE,ONMOBILE GLOBAL,0,,0,0.01,1,EQ,NSE,NSE
3912449,15283,KNRCON,KNR CONSTRU,0,,0,0.05,1,EQ,NSE,NSE
3915521,15295,VIRINCHI,VIRINCHI,0,,0,0.01,1,EQ,NSE,NSE
3918849,15308,SEPC,SEPC,0,,0,0.01,1,EQ,NSE,NSE
3920129,15313,IRB,IRB INFRA DEV,0,,0,0.01,1,EQ,NSE,NSE
3924481,15330,QGOLDHALF,QUANTUM GOLD FUND,0,,0,0.01,1,EQ,NSE,NSE
3924993,15332,NMDC,NMDC,0,,0,0.01,1,EQ,NSE,NSE
3926273,15337,RAIN,RAIN INDUSTRIES,0,,0,0.01,1,EQ,NSE,NSE
3927553,15342,SHALPAINTS,SHALIM PAINTS,0,,0,0.01,1,EQ,NSE,NSE
3927809,15343,SADHNANIQ,SADHANA NITROCHEM,0,,0,0.01,1,EQ,NSE,NSE
3928833,15347,GSS,GSS INFOTECH,0,,0,0.01,1,EQ,NSE,NSE
3930881,15355,RECLTD,REC,0,,0,0.05,1,EQ,NSE,NSE
3932161,15360,NAHARCAP,NAHAR CAP & FIN.,0,,0,0.05,1,EQ,NSE,NSE
3932673,15362,VGUARD,V-GUARD IND,0,,0,0.05,1,EQ,NSE,NSE
3936513,15377,PDMJEPAPER,PUDUMJEE PAPER PRO.,0,,0,0.01,1,EQ,NSE,NSE
3937281,15380,MANKIND,MANKIND PHARMA,0,,0,0.05,1,EQ,NSE,NSE
3938305,15384,DHANI,DHANI SERVICES,0,,0,0.01,1,EQ,NSE,NSE
3940097,15391,RACE,RACE ECO CHAIN,0,,0,0.05,1,EQ,NSE,NSE
3942145,15399,EIHAHOTELS,EIH ASSOCIATED HOTELS,0,,0,0.05,1,EQ,NSE,NSE
3943425,15404,ATAM,ATAM VALVES,0,,0,0.01,1,EQ,NSE,NSE
3944705,15409,NESCO,NESCO,0,,0,0.05,1,EQ,NSE,NSE
3945985,15414,TITAGARH,TITAGARH RAIL SYSTEMS,0,,0,0.05,1,EQ,NSE,NSE
3947265,15419,DPSCLTD,DPSC,0,,0,0.01,1,EQ,NSE,NSE
3947521,15420,ACL,ANDHRA CEMENTS,0,,0,0.01,1,EQ,NSE,NSE
3982081,15555,HCG,HEALTHCARE GLOB. ENT.,0,,0,0.05,1,EQ,NSE,NSE
3990785,15589,AVG,AVG LOGISTICS,0,,0,0.05,1,EQ,NSE,NSE
4066049,15883,HINDWAREAP,HINDWARE HME INOVATON,0,,0,0.05,1,EQ,NSE,NSE
4107521,16045,PRINCEPIPE,PRINCE PIPES FITTINGS,0,,0,0.05,1,EQ,NSE,NSE
4127489,16123,BHARATWIRE,BHARAT WIRE ROPES,0,,0,0.01,1,EQ,NSE,NSE
4159745,16249,INFIBEAM,INFIBEAM AVENUES,0,,0,0.01,1,EQ,NSE,NSE
4197121,16395,MMP,MMP INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE
4259585,16639,KIRIINDUS,KIRI INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE
4264449,16658,SIGMA,SIGMA SOLVE,0,,0,0.05,1,EQ,NSE,NSE
4268801,16675,BAJAJFINSV,BAJAJ FINSERV,0,,0,0.05,1,EQ,NSE,NSE
4270593,16682,PTCIL,PTC INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE
4270849,16683,DIGISPICE,DIGISPICE TECHNOLOGIES LT,0,,0,0.01,1,EQ,NSE,NSE
4274177,16696,GHCLTEXTIL,GHCL TEXTILES,0,,0,0.01,1,EQ,NSE,NSE
4278529,16713,UBL,UNITED BREWERIES,0,,0,0.05,1,EQ,NSE,NSE
4281601,16725,RPGLIFE,RPG LIFE SCIENCES,0,,0,0.05,1,EQ,NSE,NSE
4286721,16745,RBL,RANE BRAKE LINING,0,,0,0.05,1,EQ,NSE,NSE
4288257,16751,RANEENGINE,RANE ENG VALVE,0,,0,0.05,1,EQ,NSE,NSE
4296449,16783,GVT&D,GE VERNOVA T&D INDIA,0,,0,0.05,1,EQ,NSE,NSE
4299521,16795,ARCHIDPLY,ARCHIDPLY IND.,0,,0,0.01,1,EQ,NSE,NSE
4302593,16807,LOTUSEYE,LOTUS EYE HOSP & INST L,0,,0,0.01,1,EQ,NSE,NSE
4306177,16821,VINYLINDIA,VINYL CHEMICALS (I),0,,0,0.05,1,EQ,NSE,NSE
4306433,16822,IKIO,IKIO LIGHTING,0,,0,0.01,1,EQ,NSE,NSE
4307713,16827,KOKUYOCMLN,KOKUYO CAMLIN,0,,0,0.01,1,EQ,NSE,NSE
4315905,16859,SINDHUTRAD,SINDHU TRADE LINKS,0,,0,0.01,1,EQ,NSE,NSE
4326401,16900,DPWIRES,D P WIRES,0,,0,0.05,1,EQ,NSE,NSE
4328449,16908,TOUCHWOOD,TOUCHWOOD ENTERTAIN,0,,0,0.01,1,EQ,NSE,NSE
4329729,16913,ARTEMISMED,ARTEMIS MED SERVICE,0,,0,0.05,1,EQ,NSE,NSE
4330241,16915,ZFCVINDIA,ZF COM VE CTR SYS IND,0,,0,0.05,1,EQ,NSE,NSE
4333313,16927,JOCIL,JOCIL,0,,0,0.01,1,EQ,NSE,NSE
4334849,16933,INDBANK,INDBANK MERCH BANK,0,,0,0.01,1,EQ,NSE,NSE
4341505,16959,ALKALI,ALKALI METALS,0,,0,0.01,1,EQ,NSE,NSE
4348417,16986,COUNCODOS,COUNTRY CONDO S,0,,0,0.01,1,EQ,NSE,NSE
4354561,17010,GENSOL,GENSOL ENGINEERING,0,,0,0.05,1,EQ,NSE,NSE
4357633,17022,MAWANASUG,MAWANA SUGARS,0,,0,0.01,1,EQ,NSE,NSE
4359425,17029,PATANJALI,PATANJALI FOODS,0,,0,0.05,1,EQ,NSE,NSE
4360193,17032,THYROCARE,THYROCARE TECH,0,,0,0.05,1,EQ,NSE,NSE
4365569,17053,HMAAGRO,HMA AGRO INDUSTRIES,0,,0,0.01,1,EQ,NSE,NSE
4370177,17071,URAVI,URAVI T AND WEDG LAMP,0,,0,0.05,1,EQ,NSE,NSE
4376065,17094,CROMPTON,CROMPT GREA CON ELEC,0,,0,0.05,1,EQ,NSE,NSE
4378881,17105,SUMICHEM,SUMITOMO CHEM INDIA,0,,0,0.05,1,EQ,NSE,NSE
4385281,17130,PARAGMILK,PARAG MILK FOODS,0,,0,0.01,1,EQ,NSE,NSE
4387841,17140,IDEAFORGE,IDEAFORGE TECHNO,0,,0,0.05,1,EQ,NSE,NSE
4389121,17145,AARTECH,AARTECH SOLONICS,0,,0,0.01,1,EQ,NSE,NSE
4398337,17181,NEXT50,MIRAEAMC - MANXT50,0,,0,0.01,1,EQ,NSE,NSE
4399617,17186,SHRIPISTON,SHRIRAM PIST. & RING,0,,0,0.05,1,EQ,NSE,NSE
4399873,17187,CYIENTDLM,CYIENT DLM,0,,0,0.05,1,EQ,NSE,NSE
4402433,17197,PAKKA,PAKKA,0,,0,0.05,1,EQ,NSE,NSE
4417537,17256,ALBERTDAVD,ALBERT DAVID,0,,0,0.05,1,EQ,NSE,NSE
4419329,17263,ARMANFIN,ARMAN FIN SERV,0,,0,0.05,1,EQ,NSE,NSE
4421121,17270,ASPINWALL,ASPINWALL & CO,0,,0,0.05,1,EQ,NSE,NSE
4421377,17271,SENCO,SENCO GOLD,0,,0,0.05,1,EQ,NSE,NSE
4423425,17279,BLS,BLS INTL SERVS,0,,0,0.05,1,EQ,NSE,NSE
4427521,17295,NAGAFERT,NAGARJUN FERT AND CHE,0,,0,0.01,1,EQ,NSE,NSE
4430593,17307,AJMERA,AJMERA REALTY & INF I,0,,0,0.05,1,EQ,NSE,NSE
4432129,17313,LLOYDSME,LLOYDS METALS N ENERGY L,0,,0,0.05,1,EQ,NSE,NSE
4437249,17333,MHRIL,MAHINDRA HOLIDAYS,0,,0,0.05,1,EQ,NSE,NSE
4441857,17351,SALONA,SALONA COTSPIN,0,,0,0.05,1,EQ,NSE,NSE
4443393,17357,GKWLIMITED,GKW,0,,0,0.05,1,EQ,NSE,NSE
4443649,17358,UTKARSHBNK,UTKARSH SMALL FIN BANK L,0,,0,0.01,1,EQ,NSE,NSE
4445185,17364,VINATIORGA,VINATI ORGANICS,0,,0,0.05,1,EQ,NSE,NSE
4451329,17388,ADANIPOWER,ADANI POWER,0,,0,0.05,1,EQ,NSE,NSE
4453633,17397,PREMEXPLN,PREMIER EXPLOSIVES,0,,0,0.05,1,EQ,NSE,NSE
4454401,17400,NHPC,NHPC,0,,0,0.01,1,EQ,NSE,NSE
4460545,17424,GLOBUSSPR,GLOBUS SPIRITS,0,,0,0.05,1,EQ,NSE,NSE
4462849,17433,NETWEB,NETWEB TECH INDIA,0,,0,0.05,1,EQ,NSE,NSE
4464129,17438,OIL,OIL INDIA,0,,0,0.05,1,EQ,NSE,NSE
4474113,17477,CONTROLPR,CONTROL PRINT,0,,0,0.05,1,EQ,NSE,NSE
4476417,17486,EXPLEOSOL,EXPLEO SOLUTIONS,0,,0,0.05,1,EQ,NSE,NSE
4481793,17507,INCREDIBLE,INCREDIBLE INDUSTRIES,0,,0,0.01,1,EQ,NSE,NSE
4485121,17520,RTNPOWER,RATTANINDIA POWER,0,,0,0.01,1,EQ,NSE,NSE
4488705,17534,MGL,MAHANAGAR GAS,0,,0,0.05,1,EQ,NSE,NSE
4490497,17541,DAMODARIND,DAMODAR INDUSTRIES,0,,0,0.01,1,EQ,NSE,NSE
4492033,17547,AMRUTANJAN,AMRUTAJAN HEALTH,0,,0,0.05,1,EQ,NSE,NSE
4498433,17572,LIQUID,MIRAEAMC - LIQUID,0,,0,0.01,1,EQ,NSE,NSE
4505089,17598,ASALCBR,ASSO ALCOHOLS & BREW,0,,0,0.05,1,EQ,NSE,NSE
4506369,17603,MAHEPC,MAHINDRA EPC IRRIG,0,,0,0.01,1,EQ,NSE,NSE
4512001,17625,MOLDTECH,MOLD-TEK TECHNOLOGIES,0,,0,0.01,1,EQ,NSE,NSE
4514561,17635,ZYDUSWELL,ZYDUS WELLNESS,0,,0,0.05,1,EQ,NSE,NSE
4516097,17641,SUNTECK,SUNTECK REALTY,0,,0,0.05,1,EQ,NSE,NSE
4518657,17651,POKARNA,POKARNA,0,,0,0.05,1,EQ,NSE,NSE
4524801,17675,ALOKINDS,ALOK INDUSTRIES,0,,0,0.01,1,EQ,NSE,NSE
4527361,17685,GPTINFRA,GPT INFRAPROJECTS,0,,0,0.01,1,EQ,NSE,NSE
4532225,17704,QUESS,QUESS CORP,0,,0,0.05,1,EQ,NSE,NSE
4536833,17722,DEN,DEN NETWORKS,0,,0,0.01,1,EQ,NSE,NSE
4538369,17728,ASTEC,ASTEC LIFESCIENCES,0,,0,0.05,1,EQ,NSE,NSE
4540929,17738,YATHARTH,YATHARTH HOSP & TRA C S L,0,,0,0.05,1,EQ,NSE,NSE
4543233,17747,NIITMTS,NIIT LEARNING SYSTEMS,0,,0,0.05,1,EQ,NSE,NSE
4544513,17752,SHILPAMED,SHILPA MEDICARE,0,,0,0.05,1,EQ,NSE,NSE
4546049,17758,SARDAEN,SARDA ENERGY & MIN,0,,0,0.05,1,EQ,NSE,NSE
4547585,17764,REFEX,REFEX INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE
4549121,17770,GROBTEA,THE GROB TEA COMPANY,0,,0,0.05,1,EQ,NSE,NSE
4551169,17778,ATL,ALLCARGO TERMINALS,0,,0,0.01,1,EQ,NSE,NSE
4555265,17794,SOMICONVEY,SOMI CONVEYOR BELT.,0,,0,0.01,1,EQ,NSE,NSE
4555521,17795,TREL,TRANSINDIA REAL ESTATE L,0,,0,0.01,1,EQ,NSE,NSE
4557057,17801,LLOYDSENGG,LLOYDS ENGG WORK,0,,0,0.01,1,EQ,NSE,NSE
4561409,17818,LTIM,LTIMINDTREE,0,,0,0.05,1,EQ,NSE,NSE
4565249,17833,AHLUCONT,AHLUWALIA CONT IND,0,,0,0.05,1,EQ,NSE,NSE
4569857,17851,DLINKINDIA,D-LINK INDIA,0,,0,0.05,1,EQ,NSE,NSE
4571905,17859,REDTAPE,REDTAPE,0,,0,0.05,1,EQ,NSE,NSE
4574465,17869,JSWENERGY,JSW ENERGY,0,,0,0.05,1,EQ,NSE,NSE
4576001,17875,GODREJPROP,GODREJ PROPERTIES,0,,0,0.05,1,EQ,NSE,NSE
4577537,17881,DBCORP,D.B.CORP,0,,0,0.05,1,EQ,NSE,NSE
4583169,17903,ABBOTINDIA,ABBOTT INDIA,0,,0,0.05,1,EQ,NSE,NSE
4588033,17922,GEEKAYWIRE,GEEKAY WIRES,0,,0,0.01,1,EQ,NSE,NSE
